Exercise,Set 1,Set 2,Set 3,Set 4
Incline Dumbbell Curl,25×12 @9,25×11 @9,25×9 @10,
Tricep Pushdown,100×17 @8,110×12 @8.5,110×13 @10,
Preacher Curl,25×15 @9,25×6 @9.5,25×14 @10,
Tricep Kickback,30×14 @8.5,30×13 @8.5,30×14 @10,
Spider Curl,20×10 @9,20×11 @9.5,20×8 @10,
Hammer Curl,25×8 @9.5,25×9 @9.5,25×8 @10,
Cable Tricep Extension,90×14 @8,90×15 @8.5,90×10 @9,
Cable Ab Crunch,160×15 @8,,,
Leg Raises,bw×31 @9,,,
Cable Ab Crunch,160×7 @10,,,
,,,,
"2026-07-21, CHEST","Was training someone again so rests were long in the first half or so, in between the ab finisher I did intense smith machine bench press starting with 45s on a 25 bar than 55s than back to 35 I did multiple sets with all except I think 55",,,
Dumbbell Bench Press,40×14 @9.5,40×11 @9.5,40×9 @10,
Incline Dumbbell Bench Press,40×10 @9.5,40×9 @10,40×9 @10,
Mid Cable Fly (on bench),40×14 @9,40×13 @10,40×10 @10,
Cable Chest Press (on bench),50×12 @9.5,50×12 @8.5,50×10 @10,
Chest Dips,bw×8 @9,bw×7 @10,bw×6 @9.5,
Cable Ab Crunch,150×14 @7.5,,,
Leg Raises,bw×26 @9.5,,,
Cable Ab Crunch,150×10 @10,,,
,,,,
"2026-07-20, LEGS",Felt very tired before but once started gained lots of energy,,,
Leg Curl,100×20 @8.5,135×14 @10,,
Leg Extension,85×10 @9.5,85×10 @10,,
Hip Thrust,55×15 @7.5,70×13 @8.5,,
Smith Machine Squat,15×11 @9,15×12 @10,,
Standing Calf Raise (Smith),25×16 @8.5,30×14 @10,,
Cable Ab Crunch,150×26 @8.5,,,
Leg Raises,bw×23 @9.5,,,
Cable Ab Crunch,150×11 @9.5,,,
,,,,
"2026-07-19, SHOULDERS","Was training someone again so rests were long, the 30 mins rest wasn’t true, I was doing some bench press and forearm exercises",,,
Smith Machine Shoulder Press,15×15 @8,20×13 @9,20×15 @10,
Alternating Cable Lateral Raise,20×18 @8,20×14 @9,20×17 @10,
Cable Reverse Rear Delt Fly,30×12 @8.5,30×14 @9,30×15 @10,
Cable Ab Crunch,150×19 @9.5,150×12 @9,,
Leg Raises,bw×25 @9.5,,,
,,,,
"2026-07-18, CHEST",Was helping train something so rests were long,,,
Dumbbell Bench Press,40×12 @8,40×12 @8.5,40×12 @9.5,
Incline Dumbbell Bench Press,35×10 @9,35×10 @9,35×10 @9.5,
Mid Cable Fly (on bench),30×13 @8,40×12 @9,40×14 @9.5,
Cable Chest Press (on bench),40×15 @7.5,50×9 @9.5,50×12 @9.5,
Guillotine Press,30×11 @8,30×11 @9,30×14 @9.5,
Cable Ab Crunch,150×20 @8.5,150×8 @9,,
Leg Raises,bw×23 @8.5,,,
,,,,
"2026-07-16, ARMS",,,,
Incline Dumbbell Curl,25×10 @8.5,25×9 @9,25×12 @9,
Tricep Pushdown,100×15 @8,100×15 @8.5,100×13 @9,
Preacher Curl,25×12 @8.5,25×8 @9,25×11 @9.5,
Tricep Kickback,30×12 @9,30×10 @9,30×11 @9.5,
